1,0.05,-60.0,-2.0,75.0,&
2,0.05,-0.0,0.0,119.0,&
5,0.05,15.0,-2.0,75.0,&
0,0.0,30.0,-4.0,57.0,&
3,0.0,45.0,-16.0,106.0,&
4,0.0,-50.0,-15.0,117.0
